# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
35.600000000 0.985888545 0.985324999 0.984198874 0.983074035 0.981950483 0.980828214
35.700000000 0.985761263 0.985196606 0.984068264 0.982941214 0.981815455 0.980690985
35.800000000 0.985626215 0.985060423 0.983929814 0.982800503 0.981672488 0.980545767
35.900000000 0.985469005 0.984902062 0.983769154 0.982637550 0.981507247 0.980378244
36.000000000 0.985182959 0.984614868 0.983479669 0.982345778 0.981213195 0.980081917
36.100000000 0.985180197 0.984610809 0.983473021 0.982336548 0.981201389 0.980067541
36.200000000 0.985109599 0.984538927 0.983398574 0.982259543 0.981121830 0.979985436
36.300000000 0.984997985 0.984426026 0.983283103 0.982141507 0.981001237 0.979862291
36.400000000 0.984874200 0.984300934 0.983155403 0.982011206 0.980868340 0.979726804
36.500000000 0.984744519 0.984169925 0.983021742 0.981874899 0.980729394 0.979585225
36.600000000 0.984611016 0.984035071 0.982884191 0.981734656 0.980586466 0.979439619
36.700000000 0.984474511 0.983897191 0.982743568 0.981591297 0.980440378 0.979290807
36.800000000 0.984335339 0.983756623 0.982600212 0.981445160 0.980291466 0.979139128
36.900000000 0.984193608 0.983613473 0.982454230 0.981296353 0.980139841 0.978984692
37.000000000 0.984049272 0.983467697 0.982305579 0.981144834 0.979985461 0.978827457
37.100000000 0.983902240 0.983319204 0.982154168 0.980990513 0.979828237 0.978667337
37.200000000 0.983752111 0.983167593 0.981999600 0.980832994 0.979667774 0.978503938
37.300000000 0.983598276 0.983012257 0.981841266 0.980671669 0.979503466 0.978336655
37.400000000 0.983439481 0.982851941 0.981677916 0.980505292 0.979334070 0.978164246
37.500000000 0.983272955 0.982683879 0.981506786 0.980331103 0.979156828 0.977983960
37.600000000 0.983091475 0.982500851 0.981320667 0.980141901 0.978964550 0.977788614
37.700000000 0.982871033 0.982278864 0.981095595 0.979913752 0.978733333 0.977554335
37.800000000 0.982448736 0.981855123 0.980668974 0.979484258 0.978300973 0.977119118
37.900000000 0.982434639 0.981839317 0.980649756 0.979461636 0.978274955 0.977089712
38.000000000 0.982411156 0.981814073 0.980620995 0.979429367 0.978239188 0.977050454
38.100000000 0.982288151 0.981689386 0.980492948 0.979297969 0.978104447 0.976912379
38.200000000 0.982138242 0.981537791 0.980337989 0.979139654 0.977942784 0.976747376
38.300000000 0.981976581 0.981374433 0.980171244 0.978969530 0.977769290 0.976570521
38.400000000 0.981808263 0.981204404 0.979997800 0.978792679 0.977589040 0.976386882
38.500000000 0.981635048 0.981029463 0.979819414 0.978610857 0.977403791 0.976198213
38.600000000 0.981457826 0.980850500 0.979636975 0.978424951 0.977214427 0.976005401
38.700000000 0.981277031 0.980667948 0.979450918 0.978235398 0.977021386 0.975808881
38.800000000 0.981092892 0.980482039 0.979261473 0.978042426 0.976824896 0.975608883
38.900000000 0.980905473 0.980292833 0.979068702 0.977846099 0.976625023 0.975405471
39.000000000 0.980714823 0.980100383 0.978872657 0.977646469 0.976421817 0.975198699
39.100000000 0.980520700 0.979904445 0.978673097 0.977443296 0.976215040 0.974988328
39.200000000 0.980322636 0.979704553 0.978469555 0.977236114 0.976004227 0.974773894
39.300000000 0.980118952 0.979499028 0.978260356 0.977023250 0.975787709 0.974553730
39.400000000 0.979898269 0.979276499 0.978034143 0.976793363 0.975554157 0.974316523
39.500000000 0.979700229 0.979076584 0.977830485 0.976585971 0.975343042 0.974101694
39.600000000 0.979502575 0.978877039 0.977627165 0.976378888 0.975132204 0.973887111
39.700000000 0.979293361 0.978665927 0.977412264 0.976160206 0.974909753 0.973660902
39.800000000 0.979078892 0.978449548 0.977192073 0.975936213 0.974681968 0.973429335
39.900000000 0.978860266 0.978229000 0.976967689 0.975708004 0.974449943 0.973193505
40.000000000 0.978637766 0.978004551 0.976739350 0.975475786 0.974213856 0.972953559
40.100000000 0.978411528 0.977776367 0.976507283 0.975239846 0.973974054 0.972709905
40.200000000 0.978181790 0.977544673 0.976271682 0.975000349 0.973730671 0.972462647
40.300000000 0.977948174 0.977309088 0.976032168 0.974756917 0.973483332 0.972211411
40.400000000 0.977710648 0.977069583 0.975788712 0.974509520 0.973232006 0.971956166
40.500000000 0.977469144 0.976826088 0.975541244 0.974258091 0.972976625 0.971696845
40.600000000 0.977223566 0.976578509 0.975289672 0.974002536 0.972717099 0.971433358
40.700000000 0.976974104 0.976327035 0.975034184 0.973743044 0.972453614 0.971165892
40.800000000 0.976720360 0.976071270 0.974774384 0.973479221 0.972185779 0.970894055
40.900000000 0.976462296 0.975811175 0.974510234 0.973211028 0.971913555 0.970617810
41.000000000 0.976199743 0.975546580 0.974241567 0.972938298 0.971636774 0.970336990
41.100000000 0.975932794 0.975277581 0.973968475 0.972661127 0.971355533 0.970051691
41.200000000 0.975661541 0.975004269 0.973691052 0.972379604 0.971069922 0.969762004
41.300000000 0.975385411 0.974726070 0.973408725 0.972093160 0.970779373 0.969467362
41.400000000 0.975104445 0.974443027 0.973121536 0.971801837 0.970483928 0.969167807
41.500000000 0.974818608 0.974155105 0.972829451 0.971505602 0.970183554 0.968863305
41.600000000 0.974527713 0.973862116 0.972532283 0.971204267 0.969878064 0.968553673
